County,CNTY_FP,Zone,single_family,multi_family,mobile_homes,commercial_industrial,other
Brazoria,48039,Coastal Zone,11364.0,240.0,,3164.0,23978.0
Brazoria,48039,Zone B,53944.0,536.0,,6467.0,48745.0
Brazoria,48039,Zone C,72668.0,370.0,,4528.0,47146.0
Chambers,48071,Coastal Zone,657.0,,,24.0,2878.0
Chambers,48071,Zone A,13622.0,28.0,1.0,801.0,11527.0
Chambers,48071,Zone B,4228.0,3.0,,769.0,3524.0
Galveston,48167,Coastal Zone,,,,,95740.0
Galveston,48167,Zone A,8.0,,,,78848.0
Galveston,48167,Zone B,,,,1.0,12058.0
Hardin,48199,Zone A,,,,,1827.0
Hardin,48199,Zone B,1.0,,,,5629.0
Hardin,48199,Zone Out,,,,,35102.0
Harris,48201,Zone A,8687.0,74.0,,364.0,2917.0
Harris,48201,Zone B,48772.0,525.0,,3686.0,10135.0
Harris,48201,Zone C,166979.0,3290.0,,14624.0,26708.0
Harris,48201,Zone Out,943184.0,11519.0,2.0,51307.0,229158.0
Jackson,48239,Zone A,,,,,4063.0
Jackson,48239,Zone B,,,,,1284.0
Jackson,48239,Zone C,,,,,616.0
Jackson,48239,Zone Out,,,,,12436.0
Jasper,48241,Zone Out,10554.0,75.0,,1370.0,24914.0
Jefferson,48245,Coastal Zone,4336.0,56.0,,622.0,6587.0
Jefferson,48245,Zone A,23213.0,327.0,,1633.0,7521.0
Jefferson,48245,Zone B,12939.0,280.0,,1546.0,3754.0
Jefferson,48245,Zone C,37904.0,650.0,2.0,3561.0,17226.0
Liberty,48291,Zone B,5796.0,27.0,,374.0,16186.0
Liberty,48291,Zone C,8972.0,163.0,,682.0,13939.0
Liberty,48291,Zone Out,27709.0,154.0,1.0,1854.0,84914.0
Matagorda,48321,Coastal Zone,,,,,5327.0
Matagorda,48321,STPNP Zone,,,,,7200.0
Matagorda,48321,Zone A,,,,,7187.0
Matagorda,48321,Zone B,,,,,2913.0
Matagorda,48321,Zone C,,,,,9985.0
Matagorda,48321,Zone Out,,,,,4529.0
Newton,48351,Zone A,1060.0,2.0,4.0,37.0,2263.0
Newton,48351,Zone Out,4397.0,12.0,23.0,286.0,15158.0
Orange,48361,Zone A,14568.0,165.0,4391.0,775.0,14965.0
Orange,48361,Zone B,4364.0,34.0,399.0,198.0,4317.0
Orange,48361,Zone C,2669.0,16.0,98.0,140.0,3144.0
