County,CNTY_FP,Zone,single_family,multi_family,mobile_homes,commercial_industrial,other
Brazoria,48039,Coastal Zone,1971.4,195.9,,5365.7,307.9
Brazoria,48039,Zone B,11157.5,1751.2,,7846.0,1243.2
Brazoria,48039,Zone C,21589.8,2675.3,,7925.1,1095.4
Chambers,48071,Coastal Zone,0.0,,,0.0,0.0
Chambers,48071,Zone A,0.0,0.0,0.0,0.0,0.6
Chambers,48071,Zone B,0.6,0.0,,0.0,0.0
Galveston,48167,Coastal Zone,,,,,35474.4
Galveston,48167,Zone A,1.6,,,,25408.7
Galveston,48167,Zone B,,,,0.0,5970.4
Hardin,48199,Zone A,,,,,292.1
Hardin,48199,Zone B,0.0,,,,833.5
Hardin,48199,Zone Out,,,,,3003.2
Harris,48201,Zone A,27.6,2.1,,13.6,1.9
Harris,48201,Zone B,76.6,67.4,,635.1,0.9
Harris,48201,Zone C,211.6,47.2,,641.6,16.0
Harris,48201,Zone Out,5839.5,1826.2,0.0,2443.6,550.6
Jackson,48239,Zone A,,,,,174.9
Jackson,48239,Zone B,,,,,29.5
Jackson,48239,Zone C,,,,,72.2
Jackson,48239,Zone Out,,,,,862.7
Jasper,48241,Zone Out,1373.1,28.6,,404.7,625.6
Jefferson,48245,Coastal Zone,577.5,0.4,,0.4,23.1
Jefferson,48245,Zone A,5049.8,3.3,,0.5,68.5
Jefferson,48245,Zone B,3651.2,1.6,,1.2,46.3
Jefferson,48245,Zone C,8903.4,3.4,0.0,0.5,149.7
Liberty,48291,Zone B,846.2,11.3,,142.3,403.1
Liberty,48291,Zone C,1663.1,98.6,,280.6,807.9
Liberty,48291,Zone Out,3053.7,82.4,0.1,756.6,1628.5
Matagorda,48321,Coastal Zone,,,,,454.9
Matagorda,48321,STPNP Zone,,,,,409.9
Matagorda,48321,Zone A,,,,,255.5
Matagorda,48321,Zone B,,,,,249.4
Matagorda,48321,Zone C,,,,,1375.2
Matagorda,48321,Zone Out,,,,,305.8
Newton,48351,Zone A,86.9,0.3,0.2,9.2,34.8
Newton,48351,Zone Out,393.9,1.9,1.6,27.4,337.2
Orange,48361,Zone A,1631.8,13.8,560.5,89.4,1959.7
Orange,48361,Zone B,672.8,4.9,53.0,34.7,641.3
Orange,48361,Zone C,293.0,1.6,11.8,16.7,337.8
