County,CNTY_FP,Zone,residential,commercial_industrial,other,total
Brazoria,48039,Coastal Zone,12014.0,3104.0,785.0,15903.0
Brazoria,48039,Zone B,60473.0,6466.0,2963.0,69902.0
Brazoria,48039,Zone C,77069.0,4527.0,2163.0,83759.0
Chambers,48071,Zone A,,,1.0,1.0
Chambers,48071,Zone B,15.0,,2.0,17.0
Galveston,48167,Coastal Zone,5.0,,66978.0,66983.0
Galveston,48167,Zone A,12.0,,64840.0,64852.0
Galveston,48167,Zone B,,,10773.0,10773.0
Hardin,48199,Zone A,,,1249.0,1249.0
Hardin,48199,Zone B,,,3689.0,3689.0
Hardin,48199,Zone Out,,,17102.0,17102.0
Harris,48201,Zone A,185.0,8.0,16.0,209.0
Harris,48201,Zone B,582.0,170.0,8.0,760.0
Harris,48201,Zone C,2512.0,381.0,156.0,3049.0
Harris,48201,Zone Out,27453.0,1964.0,3911.0,33328.0
Jackson,48239,Zone A,,,1718.0,1718.0
Jackson,48239,Zone B,,,248.0,248.0
Jackson,48239,Zone C,,,374.0,374.0
Jackson,48239,Zone Out,,,6668.0,6668.0
Jasper,48241,Zone Out,12599.0,1358.0,2351.0,16308.0
Jefferson,48245,Coastal Zone,2174.0,3.0,49.0,2226.0
Jefferson,48245,Zone A,15290.0,2.0,167.0,15459.0
Jefferson,48245,Zone B,9008.0,5.0,82.0,9095.0
Jefferson,48245,Zone C,22177.0,3.0,230.0,22410.0
Liberty,48291,Zone B,5747.0,374.0,954.0,7075.0
Liberty,48291,Zone C,9135.0,681.0,1899.0,11715.0
Liberty,48291,Zone Out,27860.0,1850.0,5195.0,34905.0
Matagorda,48321,Coastal Zone,,,2951.0,2951.0
Matagorda,48321,STPNP Zone,,,2638.0,2638.0
Matagorda,48321,Zone A,,,2453.0,2453.0
Matagorda,48321,Zone B,,,1484.0,1484.0
Matagorda,48321,Zone C,3.0,,7162.0,7165.0
Matagorda,48321,Zone Out,,,2169.0,2169.0
Newton,48351,Zone A,1061.0,37.0,242.0,1340.0
Newton,48351,Zone Out,4404.0,286.0,2568.0,7258.0
Orange,48361,Zone A,10685.0,541.0,13332.0,24558.0
Orange,48361,Zone B,3310.0,148.0,3099.0,6557.0
Orange,48361,Zone C,1974.0,111.0,2127.0,4212.0
,,,230.0,36.0,437.0,703.0
