County,CNTY_FP,Zone,residential,commercial_industrial,other,total
Brazoria,48039,Coastal Zone,2430.1,5365.72,45.07,7840.89
Brazoria,48039,Zone B,13878.18,7845.97,273.81,21997.96
Brazoria,48039,Zone C,24984.14,7925.06,376.36,33285.56
Chambers,48071,Zone A,,,0.61,0.61
Chambers,48071,Zone B,0.6,,0.02,0.62
Galveston,48167,Coastal Zone,2.24,,35472.11,35474.35
Galveston,48167,Zone A,2.24,,25408.04,25410.28
Galveston,48167,Zone B,,,5970.38,5970.38
Hardin,48199,Zone A,,,292.06,292.06
Hardin,48199,Zone B,,,833.53,833.53
Hardin,48199,Zone Out,,,3003.2,3003.2
Harris,48201,Zone A,29.64,13.59,1.89,45.12
Harris,48201,Zone B,144.01,635.12,0.93,780.06
Harris,48201,Zone C,258.81,641.62,15.99,916.42
Harris,48201,Zone Out,7665.69,2443.56,550.6,10659.85
Jackson,48239,Zone A,,,174.87,174.87
Jackson,48239,Zone B,,,29.45,29.45
Jackson,48239,Zone C,,,72.18,72.18
Jackson,48239,Zone Out,,,862.68,862.68
Jasper,48241,Zone Out,1691.07,404.69,336.14,2431.9
Jefferson,48245,Coastal Zone,577.93,0.4,23.05,601.38
Jefferson,48245,Zone A,5053.08,0.48,68.47,5122.03
Jefferson,48245,Zone B,3652.79,1.2,46.34,3700.33
Jefferson,48245,Zone C,8906.81,0.52,149.7,9057.03
Liberty,48291,Zone B,857.51,142.27,403.11,1402.89
Liberty,48291,Zone C,1761.7,280.6,807.93,2850.23
Liberty,48291,Zone Out,3136.19,756.63,1628.56,5521.38
Matagorda,48321,Coastal Zone,,,454.88,454.88
Matagorda,48321,STPNP Zone,,,409.86,409.86
Matagorda,48321,Zone A,,,255.5,255.5
Matagorda,48321,Zone B,,,249.44,249.44
Matagorda,48321,Zone C,0.93,,1374.24,1375.17
Matagorda,48321,Zone Out,,,305.85,305.85
Newton,48351,Zone A,87.24,9.19,34.97,131.4
Newton,48351,Zone Out,395.86,27.43,338.71,762.0
Orange,48361,Zone A,1645.65,89.37,2520.23,4255.25
Orange,48361,Zone B,677.69,34.67,694.33,1406.69
Orange,48361,Zone C,294.61,16.66,349.55,660.82
,,,40.94,119.87,252.75,413.56
